SessionID,Name,Description,Line,Column,ParentFile,TopLevelCategory,Code
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,64518,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,64748,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,64780,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,64824,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,64880,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,65080,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,65232,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,65264,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,65308,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,65364,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,65403,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,65526,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
9672d284-b203-4768-90fb-39c1c02004ff,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,65862,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
